state,max rain fall,min rainfall,min temp,max temp
Andhra Pradesh,281.4,246.3,18.95,24.23
,59.7,10.3,18.78,24.33
Arunachal Pradesh,10.3,2.4,18.29,23.8
Assam,5.0,0.0,18.84,23.86
Bihar,27.4,3.6,18.71,23.71
Chhattisgarh,5.8,0.0,19.55,24.12
Goa,38.0,0.9,18.46,23.87
Gujarat,4.5,0.1,18.15,23.95
Haryana,1.9,0.1,18.86,23.78
Himachal Pradesh,5.1,0.0,18.05,23.77
,14.8,0.0,18.76,23.96
Jammu and Kashmir,5.1,2.3,18.44,24.11
,2.5,0.2,18.7,23.88
Jharkhand,0.4,3.4,18.73,24.03
Karnataka,9.1,9.6,18.31,24.29
Kerala,12.3,31.3,18.17,24.08
Madhya Pradesh,24.1,0.0,18.39,23.56
Maharashtra,75.1,0.0,18.37,23.83
Manipur,46.8,0.0,18.58,24.01
Meghalaya,11.4,0.0,18.78,23.91
Mizoram,39.9,0.0,19.24,24.33
Nagaland,62.2,0.0,18.39,24.05
Odisha,109.2,0.0,19.08,24.05
Punjab,75.8,0.0,18.97,24.15
Rajasthan,40.4,0.0,18.63,23.95
Sikkim,39.7,0.1,18.8,24.04
Tamil Nadu,13.4,3.6,19.41,23.94
Telangana,240.5,14.7,18.73,24.29
Tripura,45.7,0.0,18.44,24.08
Uttar Pradesh,163.5,18.7,19.11,23.93
Uttarakhand,326.5,63.9,19.29,24.44
West Bengal,235.1,0.1,18.86,24.21
,79.4,0.0,19.31,23.92
,194.0,2.2,19.08,24.13
,339.0,50.0,19.03,23.98
,201.4,14.9,19.13,24.12
,,,18.09,23.98
,,,18.9,23.98
,,,19.03,24.01
,,,18.97,24.06
,,,19.67,24.65
,,,18.75,24.22
,,,19.02,23.93
,,,19.32,24.03
,,,17.98,23.92
,,,20.08,24.42
,,,19.07,24.04
,,,18.79,24.11
,,,18.4,24.08
,,,18.33,23.71
,,,19.3,24.22
,,,19.18,24.34
,,,19.85,24.57
,,,18.94,24.13
,,,18.69,23.97
,,,18.97,23.96
,,,19.6,23.97
,,,19.65,24.62
,,,19.44,24.3
,,,19.59,24.29
,,,18.3,24
,,,18.9,24.04
,,,19.23,24.15
,,,18.78,24.1
,,,19.15,24.07
,,,18.94,24.36
,,,19.41,24.11
,,,19.2,23.94
,,,19.41,24.46
,,,18.52,24.26
,,,18.84,23.91
,,,19.46,24.1
,,,18.7,24.41
,,,18.17,24
,,,18.51,23.74
,,,19.35,24.07
,,,19.35,24.35
,,,19.53,24.24
,,,19.79,24.57
,,,19.23,24.55
,,,18.87,24.27
,,,19.33,24.15
,,,19.08,24.12
,,,19.34,24.26
,,,19.68,24.45
,,,19.38,24.2
,,,19.75,24.57
,,,19.64,24.42
,,,19.23,24.03
,,,19.78,24.21
,,,19.44,24.28
,,,19.42,24.15
,,,19.55,24.43
,,,19.3,24.46
,,,20.65,25.29
,,,18.96,24.55
,,,19.31,24.1
,,,19.21,24.76
,,,19.57,24.67
,,,19.66,24.6
,,,19.55,24.73
,,,19.87,25
,,,19.59,24.72
,,,19.93,24.74
,,,19.23,24.58
,,,19.99,25.06
,,,19.65,24.77
,,,20.62,24.61
,,,20.22,25.11
,,,19.22,25.13
,,,19.84,24.67
,,,19.91,24.69
,,,19.69,24.82
,,,19.5,24.73
,,,20.21,24.91
,,,21.89,26.45
